2025-10-09 11:20:15 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:20:15 | WARNING | aiogram.dispatcher | Sleep for 4.971537 seconds and try again... (tryings = 24, bot id = 8358955738)
2025-10-09 11:20:20 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:20:20 | WARNING | aiogram.dispatcher | Sleep for 5.154885 seconds and try again... (tryings = 25, bot id = 8358955738)
2025-10-09 11:20:25 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:20:25 | WARNING | aiogram.dispatcher | Sleep for 4.924801 seconds and try again... (tryings = 26, bot id = 8358955738)
2025-10-09 11:20:30 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:20:30 | WARNING | aiogram.dispatcher | Sleep for 4.978934 seconds and try again... (tryings = 27, bot id = 8358955738)
2025-10-09 11:20:35 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:20:35 | WARNING | aiogram.dispatcher | Sleep for 4.927469 seconds and try again... (tryings = 28, bot id = 8358955738)
2025-10-09 11:20:40 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:20:40 | WARNING | aiogram.dispatcher | Sleep for 5.037537 seconds and try again... (tryings = 29, bot id = 8358955738)
2025-10-09 11:20:45 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
2025-10-09 11:20:45 | WARNING | aiogram.dispatcher | Sleep for 5.058591 seconds and try again... (tryings = 30, bot id = 8358955738)
